Country.Name,SDG.Region,UNICEF.Region,UNICEF.Programme.Region,Rate,Year,Deaths
28,201,208,208,16.3438,1992,768
29,201,214,213,50.2958,1992,6815
30,203,215,211,4.167,1992,1664
31,203,211,211,3.6373,1992,313
32,202,209,209,7.4473,1992,2161
33,206,213,214,29.1708,1992,616190
34,201,214,213,47.5638,1992,27991
35,201,214,213,40.4141,1992,21324
36,201,214,213,40.8605,1992,71873
37,201,214,213,28.1963,1992,2743
38,205,213,214,12.695,1992,7
39,202,209,209,17.1763,1992,15486
40,201,208,208,46.6676,1992,861
41,201,214,213,18.8828,1992,268
42,202,209,209,8.7685,1992,727
43,202,209,209,6.4162,1992,1039
44,204,211,211,5.7659,1992,91
45,203,211,211,6.2385,1992,761
46,203,211,211,3.4225,1992,2776
47,201,208,212,47.9417,1992,1182
48,202,209,209,10.6434,1992,19
49,203,211,211,4.0337,1992,272
50,202,209,209,23.4673,1992,5203
51,204,212,212,23.9492,1992,18908
52,202,209,209,21.058,1992,6667
53,204,212,212,30.8972,1992,58791
54,201,208,208,33.0604,1992,2674
55,203,211,211,4.3806,1992,1728
56,203,211,211,9.7537,1992,178
57,201,208,208,57.9748,1992,147461
58,203,211,211,3.5586,1992,236
59,205,213,214,12.0741,1992,268
60,203,211,211,3.2213,1992,2356
61,205,213,214,23.4342,1992,80
62,201,214,213,30.9072,1992,1180
63,203,211,211,4.357,1992,3388
64,204,210,210,24.9609,1992,2194
65,201,214,213,40.4464,1992,25476
66,201,214,213,60.1899,1992,18987
67,201,214,213,47.6338,1992,2423
68,201,214,213,62.423,1992,2807
69,201,214,213,49.4282,1992,1115
70,203,211,211,5.9459,1992,659
71,202,209,209,10.6329,1992,28
72,202,209,209,26.862,1992,9895
73,202,209,209,30.6344,1992,661
74,202,209,209,20.3415,1992,4077
75,203,210,210,7.8428,1992,382
76,202,209,209,36.3022,1992,9522
77,203,211,211,9.7884,1992,1190
78,206,213,214,29.7496,1992,138151
79,200,207,207,54.677,1992,1532864
80,203,211,211,4.5007,1992,227
81,200,212,212,23.6619,1992,40209
82,204,212,212,25.5485,1992,18438
83,203,211,211,3.0705,1992,14
84,204,212,211,5.4339,1992,588
85,203,211,211,5.6328,1992,3192
86,202,209,209,17.9542,1992,1142
87,204,212,212,18.7549,1992,2593
88,206,213,211,2.3992,1992,2935
89,200,210,210,23.3681,1992,8554
90,201,208,208,26.9543,1992,27731
91,200,210,210,25.2691,1992,3384
92,206,213,214,40.0806,1992,16271
93,205,213,214,33.278,1992,93
94,202,209,209,18.754,1992,16
95,206,213,211,6.1644,1992,4504
96,204,212,212,9.2724,1992,296
97,206,213,214,45.3629,1992,8590
98,204,212,212,17.9405,1992,1742
99,201,214,213,58.7145,1992,5281
100,204,212,212,19.9056,1992,2399
101,202,209,209,11.0765,1992,43
102,200,207,207,12.5631,1992,4513
103,201,208,208,40.3561,1992,2492
104,203,211,211,10.6245,1992,597
105,203,211,211,3.6882,1992,19
106,203,211,211,10.4904,1992,347
107,204,212,212,35.4506,1992,25598
108,203,211,211,3.8432,1992,1
109,203,210,210,19.5548,1992,1409
110,201,208,208,37.2658,1992,20829
111,200,207,207,37.1846,1992,329
112,202,209,209,20.9701,1992,51028
113,205,213,214,17.6645,1992,34
114,203,210,210,15.4718,1992,483
115,201,214,213,63.5867,1992,27725
116,203,211,211,7.0706,1992,38
117,206,213,214,46.3885,1992,50835
118,203,210,210,9.8521,1992,96
119,206,213,214,29.8384,1992,1961
120,201,208,208,60.8681,1992,38439
121,201,214,213,43.4622,1992,3759
122,202,209,209,10.0901,1992,2
123,201,208,211,13.8286,1992,323
124,201,208,208,48.4876,1992,23100
125,206,213,214,7.0197,1992,3621
126,201,208,208,27.6069,1992,1574
127,201,214,213,53.2704,1992,25831
128,201,214,213,50.0298,1992,218488
129,202,209,209,21.6662,1992,3327
130,205,213,214,14.1561,1992,1
131,203,211,211,4.4047,1992,866
132,203,211,211,3.6177,1992,217
133,200,207,207,54.3118,1992,41642
134,205,213,214,30.643,1992,10
135,205,213,211,4.0336,1992,238
136,204,212,212,14.3527,1992,921
137,200,207,207,63.7562,1992,327760
138,202,209,209,16.297,1992,1076
139,202,209,209,26.0414,1992,17595
140,206,213,214,17.9559,1992,37976
141,205,213,214,18.2862,1992,6
142,205,213,214,32.9356,1992,4874
143,203,211,211,10.6097,1992,5458
144,206,213,214,22.9899,1992,10263
145,203,211,211,6.024,1992,693
146,202,209,209,21.1353,1992,2987
147,204,212,212,21.1017,1992,2219
148,204,212,212,9.8525,1992,102
149,203,210,210,40.0893,1992,1818
150,203,210,210,13.9416,1992,3696
151,203,210,211,10.7645,1992,17397
152,201,208,208,44.9443,1992,14594
153,204,212,212,19.713,1992,10999
154,204,208,212,42.1941,1992,38997
155,201,214,213,40.2097,1992,13094
156,206,213,211,3.1075,1992,158
157,205,213,214,14.0993,1992,182
158,201,214,213,52.6207,1992,10555
159,202,209,209,21.3929,1992,3843
160,203,211,211,5.4546,1992,1
161,201,208,208,44.4753,1992,14576
162,203,210,210,14.9592,1992,1368
163,201,208,208,62.8477,1992,17107
164,201,214,213,25.8127,1992,129
165,202,209,209,19.6415,1992,245
166,203,211,211,8.1671,1992,611
167,203,211,211,4.9313,1992,100
168,203,211,211,3.2073,1992,390
169,201,208,208,23.9488,1992,854
170,201,208,211,10.0883,1992,16
171,204,212,212,15.3551,1992,6871
172,202,209,209,8.8296,1992,3
173,201,214,213,49.8276,1992,16687
174,201,214,213,42.576,1992,7180
175,206,213,214,18.4895,1992,20213
176,200,210,210,30.4043,1992,6813
177,200,210,210,28.3481,1992,3656
178,206,213,214,53.9528,1992,1765
179,205,213,214,9.0186,1992,28
180,202,209,209,18.6914,1992,453
181,204,212,212,26.563,1992,5757
182,204,210,210,29.3177,1992,40735
183,205,213,214,28.2163,1992,9
184,201,208,208,38.7458,1992,46083
185,201,208,208,37.8712,1992,36450
186,203,210,210,11.8222,1992,7452
187,202,209,209,11.4944,1992,641
188,203,215,211,5.4091,1992,21917
189,200,210,210,31.0058,1992,21855
190,202,209,209,12.1151,1992,33
191,202,209,209,14.3548,1992,8199
192,202,209,209,11.3254,1992,3
193,206,213,214,22.3646,1992,41792
194,205,213,214,15.4153,1992,91
195,205,213,214,11.893,1992,66
196,204,212,212,42.4362,1992,30236
197,201,208,208,21.3895,1992,25690
198,201,208,208,36.7084,1992,13962
199,201,208,208,22.786,1992,8266
0,200,207,207,71.8105,1993,49873
1,201,208,208,53.5367,1993,34738
2,202,209,209,8.7297,1993,1
3,203,210,210,12.2704,1993,919
4,203,211,211,5.2849,1993,4
5,204,212,212,6.9667,1993,343
6,202,209,209,14.4989,1993,10641
7,204,210,210,21.193,1993,1422
8,202,209,209,9.3691,1993,11
9,205,213,211,4.0343,1993,1051
10,203,211,211,3.9413,1993,373
11,204,210,210,35.1155,1993,6745
12,201,208,208,40.0894,1993,10869
13,203,211,211,4.046,1993,486
14,201,214,213,42.8669,1993,10741
15,201,214,213,44.1182,1993,20071
16,200,207,207,59.1947,1993,211721
17,203,210,210,8.6964,1993,753
18,204,212,212,12.2212,1993,173
19,202,209,211,10.613,1993,78
20,203,210,210,10.9027,1993,555
21,203,210,210,9.664,1993,1187
22,202,209,209,15.919,1993,104
23,202,209,209,37.9534,1993,9722
24,202,209,209,24.6121,1993,89754
25,202,209,209,9.9282,1993,39
26,206,213,211,5.5447,1993,40
27,200,207,207,39.5143,1993,717
28,201,208,208,14.7522,1993,706
29,201,214,213,49.5917,1993,6864
30,203,215,211,4.1212,1993,1607
31,203,211,211,3.5439,1993,295
32,202,209,209,7.0416,1993,2021
33,206,213,214,28.5779,1993,575916
34,201,214,213,47.0934,1993,28392
35,201,214,213,40.2596,1993,21657
36,201,214,213,40.5637,1993,73085
37,201,214,213,28.5822,1993,2841
38,205,213,214,12.5745,1993,7
39,202,209,209,16.6967,1993,15082
40,201,208,208,45.0713,1993,833
41,201,214,213,18.7577,1993,267
42,202,209,209,8.9055,1993,735
43,202,209,209,6.2818,1993,966
44,204,211,211,5.5092,1993,81
45,203,211,211,5.6271,1993,677
46,203,211,211,3.2775,1993,2607
47,201,208,212,47.548,1993,1076
48,202,209,209,10.8148,1993,19
49,203,211,211,3.9387,1993,267
50,202,209,209,23.1757,1993,5145
51,204,212,212,23.8427,1993,18551
52,202,209,209,20.3587,1993,6475
53,204,212,212,29.6561,1993,55898
54,201,208,208,32.2349,1993,2590
55,203,211,211,4.1283,1993,1587
56,203,211,211,9.5685,1993,149
57,201,208,208,56.7491,1993,148348
58,203,211,211,3.3807,1993,220
59,205,213,214,11.6414,1993,253
60,203,211,211,3.1244,1993,2192
61,205,213,214,23.123,1993,81
62,201,214,213,30.6065,1993,1185
63,203,211,211,4.3045,1993,3273
64,204,210,210,24.9322,1993,2013
65,201,214,213,39.894,1993,25196
66,201,214,213,59.4748,1993,19137
67,201,214,213,46.7886,1993,2461
68,201,214,213,61.7607,1993,2860
69,201,214,213,49.2159,1993,1141
70,203,211,211,5.8301,1993,645
71,202,209,209,9.8279,1993,24
72,202,209,209,26.0813,1993,9774
73,202,209,209,30.3836,1993,655
74,202,209,209,19.7931,1993,4052
75,203,210,210,7.4437,1993,367
